name,datetime,order_type,volume,min_price,max_price,range,median,avg_price,mod_rank,item_id
akbronco_prime_link,2023-07-19T00:00:00.000+00:00,sell,150,2.0,6.0,4.0,4.0,4.0,,54a73e65e779893a797fff23
akbronco_prime_link,2023-07-21T00:00:00.000+00:00,buy,23762,1.0,3.0,2.0,2.0,2.0,,54a73e65e779893a797fff23
akbronco_prime_link,2023-07-16T00:00:00.000+00:00,buy,15505,2.0,3.0,1.0,2.0,2.5,,54a73e65e779893a797fff23
akbronco_prime_link,2023-07-16T00:00:00.000+00:00,sell,169,2.0,8.0,6.0,4.0,5.0,,54a73e65e779893a797fff23
akbronco_prime_link,2023-07-16T00:00:00.000+00:00,closed,11,3.0,5.0,2.0,3.0,4.0,,54a73e65e779893a797fff23
akbronco_prime_link,2023-07-17T00:00:00.000+00:00,sell,142,2.0,6.0,4.0,4.0,4.0,,54a73e65e779893a797fff23
akbronco_prime_link,2023-07-17T00:00:00.000+00:00,buy,16798,1.0,3.0,2.0,2.0,2.0,,54a73e65e779893a797fff23
akbronco_prime_link,2023-07-17T00:00:00.000+00:00,closed,8,2.0,4.0,2.0,4.0,3.0,,54a73e65e779893a797fff23
akbronco_prime_link,2023-07-21T00:00:00.000+00:00,sell,162,2.0,6.0,4.0,4.0,4.0,,54a73e65e779893a797fff23
akbronco_prime_link,2023-07-19T00:00:00.000+00:00,closed,10,2.0,3.0,1.0,3.0,2.5,,54a73e65e779893a797fff23
akbronco_prime_link,2023-07-19T00:00:00.000+00:00,buy,8805,1.0,3.0,2.0,2.0,2.0,,54a73e65e779893a797fff23
akbronco_prime_link,2023-07-20T00:00:00.000+00:00,closed,4,2.0,5.0,3.0,3.5,3.5,,54a73e65e779893a797fff23
akbronco_prime_link,2023-07-18T00:00:00.000+00:00,sell,157,2.0,10.0,8.0,4.0,6.0,,54a73e65e779893a797fff23
akbronco_prime_link,2023-07-18T00:00:00.000+00:00,buy,9733,1.0,3.0,2.0,2.0,2.0,,54a73e65e779893a797fff23
akbronco_prime_link,2023-07-18T00:00:00.000+00:00,closed,7,1.0,3.0,2.0,2.0,2.0,,54a73e65e779893a797fff23
akbronco_prime_link,2023-07-15T00:00:00.000+00:00,buy,10540,1.0,3.0,2.0,2.0,2.0,,54a73e65e779893a797fff23
akbronco_prime_link,2023-07-15T00:00:00.000+00:00,closed,16,2.0,5.0,3.0,3.0,3.5,,54a73e65e779893a797fff23
akbronco_prime_link,2023-07-15T00:00:00.000+00:00,sell,168,2.0,10.0,8.0,4.0,6.0,,54a73e65e779893a797fff23
akbronco_prime_link,2023-07-20T00:00:00.000+00:00,buy,7816,1.0,3.0,2.0,2.0,2.0,,54a73e65e779893a797fff23
akbronco_prime_link,2023-07-20T00:00:00.000+00:00,sell,170,2.0,6.0,4.0,4.0,4.0,,54a73e65e779893a797fff23
akbronco_prime_set,2023-07-15T00:00:00.000+00:00,closed,6,7.0,10.0,3.0,8.5,8.5,,56783f24cbfa8f0432dd898d
akbronco_prime_set,2023-07-20T00:00:00.000+00:00,buy,125,2.0,6.0,4.0,4.0,4.0,,56783f24cbfa8f0432dd898d
akbronco_prime_set,2023-07-15T00:00:00.000+00:00,buy,24,2.0,6.0,4.0,4.0,4.0,,56783f24cbfa8f0432dd898d
akbronco_prime_set,2023-07-16T00:00:00.000+00:00,closed,6,7.0,11.0,4.0,9.0,9.0,,56783f24cbfa8f0432dd898d
akbronco_prime_set,2023-07-15T00:00:00.000+00:00,sell,150,6.0,18.0,12.0,10.0,12.0,,56783f24cbfa8f0432dd898d
akbronco_prime_set,2023-07-16T00:00:00.000+00:00,buy,17,3.0,6.0,3.0,4.0,4.5,,56783f24cbfa8f0432dd898d
